SDSS_objid,DECaLS_iauname,ra,dec,type,redshift,r_mag,sersic_nmgy_r
5.8773301e+17,J100417.08+060822.7,151.0712166,6.139653956,F,0.0402209,15.004867,1290.2917
5.8773301e+17,J114246.50+071406.3,175.69379,7.235099204,F,0.10109685,16.820553,275.22748
5.8773301e+17,J095303.71+064237.6,148.2654941,6.710457034,F,0.07383634,16.031828,756.47107
5.8773301e+17,J114222.33+084611.5,175.5930658,8.76986445,F,0.021606816,13.899846,3149.3254
5.8773301e+17,J121117.77+085247.5,182.8240802,8.879873451,S,0.10261694,16.808365,250.00734
5.8773301e+17,J130007.29+084154.9,195.0304071,8.698593007,F,0.046588827,13.925115,2343.9888
5.8773301e+17,J125103.37+092934.6,192.7640706,9.492938238,F,0.07937439,17.210358,753.84515
5.8773301e+17,J092235.97+071801.5,140.6499175,7.300444695,S,0.07949406,16.939783,201.0161
5.8773301e+17,J102304.03+085312.0,155.7668222,8.886712651,Q,0.044849064,15.732384,618.60803
5.8773301e+17,J104203.48+091827.8,160.5146337,9.307636985,S,0.088488765,16.385601,405.29153
5.8773301e+17,J122300.23+100604.4,185.7509894,10.10122322,F,0.053917073,15.788923,641.72266
5.8773301e+17,J085003.87+063733.2,132.5151815,6.625464356,Q,0.09368667,16.751249,315.49786
5.8773301e+17,J110511.62+102659.6,166.298468,10.44994199,F,0.030808706,15.86707,423.10635
5.8773301e+17,J164831.40+291451.0,252.1308864,29.24746898,Q,0.035758667,14.74504,1921.028
5.8773398e+17,J164726.66+345307.1,251.8674973,34.88617277,S,0.10045063,15.926267,815.84076
5.8773398e+17,J222904.69-011105.6,337.2695767,-1.184922372,F,0.039108768,14.221393,3289.486
5.8773398e+17,J215507.85-004613.0,328.7827536,-0.770291183,S,0.026832756,15.523348,1445.4844
5.8773398e+17,J222721.06-004041.1,336.837751,-0.678105121,SE,0.05659264,15.034672,1929.8839
5.8773398e+17,J221840.97-002335.5,334.6707356,-0.393216117,S,0.095041744,16.72345,323.84973
5.8773398e+17,J223436.83+001024.3,338.6532677,0.173453419,SE,0.015555951,15.68443,843.5302
5.8773501e+17,J100744.77+072756.2,151.9365822,7.465633201,Q,0.10502742,17.551012,240.42169
5.8773501e+17,J094308.04+071018.1,145.7835711,7.171688407,X,0.03705162,17.165831,204.30705
5.8773501e+17,J123909.73+085557.8,189.7905791,8.932753922,S,0.046994075,16.079815,456.94882
5.8773501e+17,J114328.35+094935.4,175.8681698,9.826554677,S,0.10833573,16.31432,1205.739
5.8773501e+17,J114427.30+104050.4,176.113789,10.68069317,F,0.07312693,16.412512,369.94382
5.8773501e+17,J103427.05+102452.3,158.6155202,10.41838155,S,0.03308475,14.772899,1687.6611
5.8773501e+17,J090231.46+083942.4,135.6311197,8.661758476,S,0.13852161,16.855482,276.18536
5.8773501e+17,J100313.02+101924.6,150.8043058,10.32348978,Q,0.051534712,17.656626,108.7349
5.8773501e+17,J094609.40+103246.2,146.5392203,10.54619759,F,0.10586584,17.228649,164.39124
5.8773501e+17,J100202.86+110826.3,150.5119739,11.14068429,X,0.078339785,16.957752,170.24327
5.8773501e+17,J095137.70+111627.8,147.9071253,11.27438505,S,0.10160796,16.218998,839.5922
5.8773501e+17,J111529.52+133634.5,168.8730323,13.60958879,S,0.068915986,16.725922,1103.4692
5.8773501e+17,J121430.16+141512.4,183.6256844,14.25339206,X,0.022096355,17.642262,126.36208
5.8773501e+17,J113647.34+142400.5,174.19727,14.40012873,Phi,0.08233332,15.72206,1097.4996
5.8773501e+17,J090317.24+100116.7,135.8225123,10.01682129,S,0.06187578,14.9658,1927.9902
5.8773501e+17,J112810.02+144124.9,172.0417927,14.69022989,S,0.037780814,16.503519,269.71268
5.8773501e+17,J082107.69+081151.0,125.2810737,8.195859145,F,0.12887138,16.664225,809.0768
5.8773501e+17,J123450.89+153310.0,188.7119616,15.55174277,S,0.004241581,12.347784,12958.51
5.8773501e+17,J124651.78+152027.3,191.7157774,15.34096781,Phi,0.06823751,15.876818,677.7775
5.8773597e+17,J144929.32+094316.7,222.3722179,9.721328258,S,0.09405375,16.983429,211.66983
5.8773597e+17,J152312.20+083258.9,230.8009946,8.549866767,F,0.03661872,15.356952,1624.8679
5.8773597e+17,J153020.64+081011.3,232.5860394,8.169814906,Q,0.0719348,16.195206,757.621
5.8773597e+17,J140339.05+112241.6,210.912761,11.37823539,S,0.038267303,14.15279,2432.4253
5.87737e+17,J143508.76+052132.6,218.7865082,5.358962171,S,0.028822137,13.79311,4183.566
5.87737e+17,J135603.82+061545.2,209.0130913,6.2618369,S,0.079493046,16.324856,538.5815
5.87737e+17,J134419.22+071954.2,206.080114,7.331748615,F,0.05491966,15.603008,768.65106
5.87737e+17,J135616.03+071141.3,209.066797,7.194835879,F,0.07832567,15.479603,952.66064
5.87737e+17,J132246.39+085645.3,200.6933408,8.945911977,Q,0.1193748,16.975636,286.9407
5.87737e+17,J150922.16+073652.2,227.3423541,7.614540242,S,0.078583635,16.447775,380.0968
5.87737e+17,J135155.93+100451.0,207.9935424,10.07196255,Q,0.064521626,15.810914,1812.6149
5.87737e+17,J152819.54+074145.2,232.0814315,7.695903307,S,0.042504907,15.110108,1218.5891
5.87737e+17,J151116.96+054949.4,227.820705,5.830406441,Q,0.07333314,16.562378,350.77057
5.87737e+17,J152622.34+311616.2,231.5931208,31.27116874,S,0.100972,16.778025,249.233
5.87737e+17,J154424.00+293416.4,236.1000451,29.57123935,F,0.059020456,17.428226,199.35558
5.87737e+17,J152553.68+311705.5,231.4725407,31.2870344,F,0.10373114,15.948133,751.3755
5.87737e+17,J160743.66+272206.7,241.9319585,27.36856055,Q,0.07895911,16.748671,232.52403
5.87737e+17,J162125.36+251445.2,245.3557136,25.24590483,SE,0.12772721,16.798586,301.31656
5.87737e+17,J165022.39+233018.4,252.5933836,23.50327824,X,0.036113743,16.698381,1113.9747
5.87737e+17,J144834.24+111902.2,222.1427118,11.31730094,Phi,0.0569788,16.351841,358.98602
5.87737e+17,J132600.01+140333.9,201.500071,14.05941793,S,0.099616945,17.367382,281.42844
5.87737e+17,J151314.30+102015.8,228.3096449,10.33776138,Phi,0.14076954,16.81241,307.81442
5.87737e+17,J154921.88+302631.8,237.3424477,30.44094656,F,0.11096005,17.552008,267.6084
5.87737e+17,J155102.28+303214.9,237.759515,30.53748966,Phi,0.032136198,14.774174,2422.2285
5.87737e+17,J143454.21+334934.5,218.7259041,33.82626399,S,0.057764605,15.827535,668.33734
5.87737e+17,J153316.70+292749.4,233.3196187,29.46371034,F,0.067529656,15.578282,1151.7432
5.87737e+17,J151903.10+282032.0,229.7616664,28.34223066,Q,0.074698456,15.365677,1354.8523
5.8773803e+17,J093625.96+111950.3,144.1081758,11.33065473,S,0.028967176,14.729949,1679.573
5.8773803e+17,J094030.85+113004.4,145.1285924,11.50123435,S,0.07556122,15.518586,892.549
5.8773803e+17,J112951.51+143521.6,172.464658,14.58933848,F,0.08220604,16.680679,492.87567
5.8773803e+17,J101813.61+134303.0,154.5567571,13.7175208,F,0.12845345,16.247992,369.50595
5.8773899e+17,J080821.42+071114.3,122.0892805,7.187304674,F,0.095821254,17.483637,140.52005
5.8773899e+17,J083053.19+083727.1,127.721643,8.624191401,SE,0.111888215,16.475166,529.8992
5.8773899e+17,J121748.99+140442.7,184.4542281,14.07850598,S,0.10533677,17.196371,208.3635
5.8773899e+17,J130843.86+134825.3,197.1827719,13.8070459,E,0.06070954,14.919216,2147.7886
5.8773899e+17,J122306.39+142729.9,185.7765689,14.45833072,B,0.042509474,14.117186,3934.9814
5.8773899e+17,J130242.81+143405.4,195.6784083,14.56817016,Q,0.14213912,16.916317,175.20996
5.8773899e+17,J122627.83+161237.8,186.6159547,16.21053649,F,0.11356452,16.267368,410.26547
5.8773899e+17,J093241.05+322121.8,143.1711149,32.35605674,F,0.08509152,17.932104,106.86372
5.8773899e+17,J152218.70+274248.9,230.5795546,27.71423308,S,0.0779874,16.819126,535.79474
5.8773899e+17,J154959.92+244805.8,237.4996904,24.80162133,Phi,0.023524066,13.608989,5945.2393
5.8773899e+17,J154849.07+253500.4,237.2045277,25.58346642,S,0.07005767,15.850753,1475.9232
5.8773899e+17,J160822.60+232845.9,242.0942223,23.47942131,S,0.040377997,15.06317,1325.2534
5.8773899e+17,J154020.90+231435.5,235.0871174,23.24321694,Phi,0.07640484,15.924879,706.55493
5.8773899e+17,J143409.48+301235.4,218.5395861,30.2098427,X,0.10194453,17.002998,172.48875
5.8773899e+17,J151023.05+270528.1,227.5960487,27.09115153,S,0.07993611,17.09691,221.64871
5.8773899e+17,J161916.83+194340.8,244.8178537,19.72658608,S,0.086068876,16.0418,761.2151
5.8773899e+17,J093116.00+263259.5,142.8167082,26.54986375,Phi,0.0457424,15.153246,1094.368
5.8773899e+17,J105053.17+321146.6,162.7215801,32.19627358,F,0.060399197,15.263734,963.7338
5.8773899e+17,J145659.30+274326.5,224.2471109,27.72405171,S,0.12556513,16.668211,343.26263
5.8773899e+17,J154448.91+225133.5,236.203828,22.85934929,S,0.03672307,15.968081,631.78503
5.8773899e+17,J091116.24+250033.6,137.8177137,25.00933647,S,0.050395794,15.896823,675.92633
5.8773899e+17,J152140.59+255033.2,230.4191408,25.84258162,F,0.033992402,14.393146,1924.6161
5.8773899e+17,J102740.96+314242.7,156.9207116,31.71187227,F,0.060898766,16.514412,269.43494
5.8773899e+17,J081346.26+185859.7,123.4427995,18.9832891,Q,0.108476974,17.293974,190.64967
5.8773899e+17,J141355.15+295805.7,213.4798367,29.9682533,F,0.06640781,15.959371,505.3385
5.8773899e+17,J142143.50+293028.0,215.4312732,29.50776711,S,0.06005498,15.763506,584.6014
5.8774002e+17,J134500.00+294855.0,206.248567,29.81533151,S,0.06419005,15.739246,660.003
5.8774002e+17,J104706.53+291253.2,161.7772488,29.21479757,E,0.14046407,16.638075,411.26514
5.8774002e+17,J140820.76+300402.9,212.0865172,30.06743858,F,0.11277129,17.595472,140.80937
5.8774002e+17,J141257.12+295441.4,213.238051,29.91150145,F,0.06413457,17.652426,231.63663
5.8774002e+17,J144924.56+255911.5,222.3523593,25.98520527,B,0.06275584,15.328655,1486.2769
5.8774002e+17,J102117.89+275547.9,155.32448,27.9299847,S,0.049814537,14.058534,3945.7456
5.8774002e+17,J153956.76+214927.2,234.9865106,21.82422508,Phi,0.043299116,14.603057,1966.3958
5.8774002e+17,J154916.80+214924.0,237.3200556,21.8234588,E,0.035658058,15.144251,1341.2188
5.8774002e+17,J135726.92+264054.9,209.3622341,26.68192625,Phi,0.13920192,16.738867,190.94412
5.8774002e+17,J140000.60+263324.9,210.0025242,26.55694863,S,0.12413404,16.654036,207.6144
5.8774002e+17,J142353.41+255049.1,215.9726653,25.84712713,Q,0.036001906,17.453945,150.15059
5.8774002e+17,J143100.55+251553.8,217.7523239,25.26493712,F,0.13308083,17.840649,86.15258
5.8774002e+17,J134604.01+281208.5,206.5167318,28.20238073,F,0.074934386,15.662026,759.2933
5.8774002e+17,J142748.88+262900.7,216.9537021,26.48353121,SE,0.032467708,15.208935,1166.0219
5.8774002e+17,J152556.71+222530.8,231.4863201,22.4252529,X,0.14099815,17.379938,107.97553
5.8774002e+17,J140220.79+271248.6,210.5865972,27.2135512,F,0.11027871,16.963434,250.05524
5.8774002e+17,J143049.40+252922.1,217.7058713,25.48948274,Phi,0.09550445,16.085516,587.8902
5.8774002e+17,J145012.03+241936.8,222.5501293,24.32693881,S,0.03286038,15.386719,902.9539
5.8774002e+17,J142512.55+262455.8,216.302351,26.41553348,S,0.14490704,16.731989,238.96725
5.8774002e+17,J153214.38+214013.6,233.0599546,21.67043927,X,0.03885582,15.1674,905.4472
5.8774002e+17,J142058.33+233416.0,215.2430687,23.57110371,SE,0.065553,16.092857,644.76965
5.8774002e+17,J144228.89+222124.9,220.6264703,22.35296554,X,0.05065879,14.509389,2645.9836
5.8774002e+17,J160343.65+154723.2,240.9318889,15.78978601,F,0.03425819,15.6728,1005.6035
5.8774002e+17,J134822.36+254049.7,207.0932104,25.68047883,F,0.051404145,14.82966,1507.4979
5.8774002e+17,J140004.38+250812.5,210.0182692,25.1368206,S,0.13006501,17.897545,144.71057
5.8774002e+17,J151227.50+203906.5,228.1145954,20.65178392,F,0.039709564,14.207652,5376.335
5.8774002e+17,J133854.34+262754.3,204.7264398,26.46509694,S,0.07591446,16.771446,286.33505
5.8774002e+17,J134242.01+261423.4,205.6749428,26.23977838,SE,0.065361984,14.778733,2456.933
5.8774002e+17,J155018.23+210041.5,237.5725229,21.01020534,B,0.057394736,15.122735,1610.6241
5.8774002e+17,J150649.89+203001.0,226.7077595,20.49931601,F,0.0402412,14.152411,3464.1572
5.8774002e+17,J160625.79+154137.6,241.6074851,15.69379745,S,0.044146467,14.138225,2597.5696
5.8774002e+17,J163254.00+125310.7,248.2250697,12.8863063,F,0.08525033,15.843811,844.85834
5.8774002e+17,J133817.35+261216.8,204.5723702,26.20474536,Q,0.075936906,17.552591,113.96096
5.8774002e+17,J144039.84+231308.7,220.1660319,23.21910674,B,0.07759173,16.092455,497.83963
5.8774002e+17,J151157.69+213010.5,227.9903728,21.5029452,X,0.13513303,17.227003,326.4278
5.8774002e+17,J154609.05+182523.5,236.5377253,18.42318557,X,0.090743266,16.782284,212.89377
5.8774002e+17,J143155.70+243555.1,217.9820904,24.59863641,F,0.08045646,15.626822,1165.9933
5.8774099e+17,J075133.56+135632.5,117.8898977,13.94236716,mis,0.08474003,16.221937,493.3024
5.8774099e+17,J093600.50+254151.0,144.0034359,25.69801705,F,0.06474156,15.454359,1212.0693
5.8774099e+17,J093518.66+260635.1,143.8277893,26.10974552,Phi,0.033797454,15.488283,1047.5032
5.8774099e+17,J082712.41+175907.4,126.8017035,17.98541574,Phi,0.055767354,15.327402,1163.7162
5.8774099e+17,J091029.79+203344.3,137.6241618,20.56231945,F,0.028009487,14.639975,2182.0208
5.8774099e+17,J084235.93+181225.5,130.6497497,18.20709181,F,0.105576,16.260036,451.74896
5.8774099e+17,J112013.08+284840.4,170.0545198,28.81126476,F,0.060055293,16.818638,269.91785
5.8774099e+17,J081012.48+150027.2,122.5504886,15.00631486,S,0.085609674,16.315889,610.8209
5.8774099e+17,J103959.29+274934.7,159.9970556,27.82634071,F,0.09933481,17.01556,255.23412
5.8774099e+17,J105346.30+282234.5,163.4429253,28.37630377,F,0.10555973,15.894841,509.43405
5.8774099e+17,J083848.00+184641.9,129.7000128,18.77833962,Q,0.14841507,17.091267,148.63263
5.8774202e+17,J094521.15+231553.0,146.338141,23.26473434,S,0.1498306,17.838388,113.55192
5.8774202e+17,J081714.53+151659.1,124.3105627,15.28310801,S,0.06884143,15.869864,528.37964
5.8774202e+17,J081937.05+160107.9,124.9044064,16.01889446,S,0.117030874,17.784786,127.24365
5.8774202e+17,J085752.69+200721.0,134.4695529,20.12253893,SE,0.03088263,13.617612,4826.791
5.8774202e+17,J111030.04+284156.1,167.6251861,28.69893289,S,0.034761574,15.821976,633.97424
5.8774202e+17,J082811.63+172228.9,127.0485256,17.37465808,F,0.020872943,16.418991,431.8983
5.8774202e+17,J090328.66+210251.3,135.8655054,21.05022451,X,0.08267844,18.195108,102.190254
5.8774202e+17,J114420.44+305502.8,176.0851558,30.91750872,Phi,0.07570829,16.030052,411.15704
5.8774202e+17,J111929.99+271503.0,169.8749892,27.25087149,SE,0.06910265,16.2472,643.2506
5.8774202e+17,J133520.70+264707.7,203.8362615,26.78550654,Q,0.105241366,16.536255,244.61655
5.8774202e+17,J110308.93+270934.2,165.7872564,27.15951515,S,0.076477915,17.121187,201.00764
5.8774202e+17,J130051.49+280234.0,195.2147486,28.04287153,F,0.029330336,13.651057,5097.004
5.8774202e+17,J094632.53+211753.0,146.635188,21.29822626,F,0.103738904,17.589201,133.7237
5.8774202e+17,J085630.89+180731.4,134.1274615,18.12589884,Phi,0.0900826,16.775801,476.70712
5.8774202e+17,J094650.10+220050.0,146.7088437,22.013944,Phi,0.024867242,12.963698,10717.948
5.8774202e+17,J093924.31+220101.6,144.8513029,22.01712271,Phi,0.10479741,17.71122,211.15556
5.8774202e+17,J101953.71+243233.2,154.9738124,24.54255661,S,0.114985645,17.694185,117.268936
5.8774202e+17,J112702.06+270850.4,171.7586117,27.14732544,X,0.023062719,17.51026,114.28738
5.8774202e+17,J094802.10+230504.0,147.008795,23.08447857,X,0.123137996,17.17977,134.5581
5.8774202e+17,J125942.19+275131.0,194.9171116,27.8549331,Phi,0.012671869,15.693899,831.9452
5.8774202e+17,J125956.65+275548.0,194.9860601,27.93004793,Q,0.025707055,15.071019,1312.1174
5.8774202e+17,J130056.39+274732.0,195.2335904,27.79084789,F,0.026594106,13.029729,9565.61
5.8774202e+17,J130126.12+275309.5,195.3588529,27.88598515,B,0.018251996,12.901815,32992.285
5.8774202e+17,J123211.64+240155.0,188.0484555,24.03178152,S,0.02145418,15.382232,818.74506
5.8774202e+17,J124610.03+251038.7,191.5418416,25.17745433,S,0.08841173,16.067507,391.92203
5.8774202e+17,J113303.59+251647.9,173.2649914,25.28003094,S,0.03336658,16.121689,608.12195
5.8774202e+17,J091214.16+164947.9,138.0612311,16.82693786,F,0.024432518,15.791392,833.4375
5.8774202e+17,J105024.93+232926.4,162.6039005,23.49070385,Q,0.060252734,15.693819,898.7554
5.8774202e+17,J105030.47+232931.4,162.6269994,23.49207322,F,0.0604007,16.086672,533.53906
5.8774202e+17,J105125.01+233118.2,162.8542829,23.52179646,X,0.058868006,16.589029,445.2552
